literature,label
بی بهانه برای کسی مینویسم که وجودم به وجود او وابسته است و بی او تنها ترینم عشقم عاشقتم,عشق
بهترین روز زندگی من روزیست که تو در میان ناباوری های من می آیی و کنارم می نشـینی و دستم را می گیری آرام زمزمه میکنی دوستت دارم.,عشق
برای تو می نویسم :برای تویی که قلبت پاک است، برای تویی که تنهایی ام پر از یاد توست برای تویی که قلبم منزلگـاه عشق توست برای تویی که عشقت معنای بودنم است,عشق
اولین ها مهم نیستن ،این موندنی ها هستن که مهم اند و تو ماندنی ترینی عشقم,عشق
قلبم فدای اون عزیزی که دنیایی ازدلتنگی روبه امید یک لحظه دیدنش به جان میخرم.فدای تو همسرم,عشق
عشق من، من بگم دوستت دارم با چه رقم یا عددی تو که بی نهایتی قشنگ تر از من بلدی,عشق
همه می دانند؛من سال هاست چشم به راه کسی سرم به کار کلمات خودم گرم است. تو را به اسم آب؛تو را به روح روشن دریا؛به دیدنم بیا! مقابلم بنشین.بگذار آفتاب از کنار چشمهای کهن سال من بگذرد.من به یک نفر،از فهم اعتماد محتاجم.من از این همه نگفتن بی تو خستهام!خرابم!ویرانم!,عشق
تو نقطه شروع همه اتفاقات خوب زندگی ام هستی وبهترین هدیه از سوی خداوندعشقم نسبت به تو حد و مرزی ندارد دوستت دارم,عشق
همسر عزیزم تو تنها یار و همدم زندگی ام هستی چه بخواهی، چه نخواهی تا ابد در قلب من می مانی دوستت دارم,عشق
تو جهان مرا به حرکت وا می داری، بدون تو من وجود ندارم دوستت دارم همسر عزیزم,عشق
عشق تو زیباترین لذتی هست که تا به حال تجربه کرده ام و دلتنگی تو بدترین دردی است که تا به حال از ان رنج برده امخیلی دلم برات تنگ شده عشقم,عشق
می تونی چشماتو برای یک دقیقه ببندی لطفا؟متشکرم دیدی چقدر تاریک شد؟این زندگی من بدون توست عاشقتم عشقم,عشق
من مسئله ای ساده هستم حل می شوم روزی در آغوشت,عشق
از زمانی که رفته ام هرروز دلم برایت تنگ می شود وقتی برگشتم به تو ثابت می کنم که چقدر دوستت دارم,عشق
بمانی بهارم بخندی تابستان بباری پاییزم نباشی زمستان تو چهار فصل روزگار منی عشقم,عشق
به خودم آمدم انگار تویی در من بود این کمی بیشتـر از دل به کسی بستن بود,عشق
سقف عاشقانه هایم چه زیبا فرو می ریزند در دنج ترین جای دنیا بهشت آغوشت ای شیرین تر از صدای باران لهجه خیس چشمانت ای از تبار ِ نوازشای فصل ممنوعه من به بلندای شعری از بوسه دوستت دارم,عشق
گرما یعنی نفس های تودست های تو، آغوش تو من به خورشید ایمان ندارم,عشق
آغوش تو آرام ترین نقطه دنیاست هرچند که دیوانه ترینمرد جهانی,عشق
اگر ماه عطری داشت ،قطعا بوی تو را می داد ،اگر شب رنگی بود ،حتما به سلیقه تو لباس می پوشید ،اگر چشمک ستاره ها صدا داشت ،شک ندارم تو جایشان حرف می زدی، من که به آسمان نرفته ام ، نمی دانم در تو اما پرواز کرده ام،ماه و شب و ستاره خودت هستی,عشق
و عشق پزشک حاذقی است که نسخه ی تمام درد هایم را لابلای موهای تو پیچید,عشق
می خواهم دوستت نداشته با شما ما نمیتوانم  و این تنها جاییست که خواستن توانستن نیست,عشق
از بزرگی پرسیدم خیلی سخت میگذرد چه باید کرد؟گفت خودت که می گویی سخت می گذرد سخت که نمی ماند پس خدا را سپاس که می گذرد و نمی ماند,عشق
وقتی حرف راست میزنید فقط انسان هایی از دست تان عصبانی می شوند که تمام زندگی شان بر دروغ استوار است,عشق
باید از عشق بسازم غزلی قابل توغزلی ناب و صمیمانه به وزن دل تو دلی از جنس بهار است که تقدیم تو باد سبز باشی و دلت خانه پاییز مباد,عشق
هر چه مغرورتر باشی تشنه ترند برای با تو بودن و هرچه دست نیافتنی باشی بیشتر به دنبالت می آیند؛امان از روزی که غروری نداشته باشی و بی ریا به آنها محبت کنی آن وقت تو را هیچ وقت نمی بینند؛ساده از کنارت عبور می کنند,عشق
وقتی مردم از کسی تعریف می کنند کمتر کسی باور می کند ولی وقتی که از کسی بدگویی می کنند همه باورشان می شود,عشق
اندیشیدن به پایان هر چیزشیرینی حضورش را تلخ می کند بگذار پایان تو را غافل گیر کند درست مانند آغاز,عشق
شاد باش نه یک روز که همیشه بگذار آوازه ی شاد بودنت چنان بپیچد که پشیمان شوند آنان که بر سر غمگین کردنت شرط بسته اند,عشق
به راه این امید پیچ در پیچم را لطف تو میباید، دگر هیچ,عشق
عشق جمال جانان، دریای آتشین است گر عاشقی، بسوزی، زیرا که راه این است,عشق
فاصله گرچه دست های ما را از هم جدا کردولی خوشحالم که جرات ندارد به دل های مان نزدیک شود,عشق
پرنده احساساتم در این صبحگاه حنجره اش پر از صوت دلتنگی توست من به همراه نسیم اشتیاق دیدار تورا خواهم خواند,عشق
چــه زیبــاست وقتـی میفهمـی کسـی زیــر ایـن گنــبد کبــود انتظــارت را میـکشـد چــه شیـرین اســـــت طعــم پیامکی کــه میگـــوید : کجایـی ؟,عشق
سال ها دویده ام با قلبی معلق و پایی در هوا دیگر طاقت رویاهایم تمام شده است دلم رسیدن میخواهد,عشق
چه سخت بر من گذشت آن لحظه ای که برایم آرزوی خوشبختی کردی,عشق
تا میخواهم از تو دل بکنم ، صبر می آید چقدر دوست دارم این عطسه های زمستانی را,عشق
لبخند زدی بهار با آن آمد یک باغ پر از نرگس و ریحان آمدای دست بلند آسمان در دستت من نام تو را خواندم و باران آمد,عشق
گاهی باید به دور خود یک دیوار تنهایی کشیدنه برای اینکه دیگران را از خودت دور کنی بلکه ببینی چه کسی برای دیدنت دیوار را خراب میکند,عشق
از رادیو دست میکشم موجی زیباتر از موهای تو نخواهم یافت,عشق
صافی آب مرا یاد تو انداخت رفیقتو دلت سبز ، لبت سرخ ، چراغت روشن چرخ روزیت همیشه چرخان ، نفست داغ ، تنت گرم ، دعایت با من روزهایت پی هم خوش باشد,عشق
قسم به شکیب همیشه بی هوشباران تنها ، آن خانه به دوش نادر و مکر زیور سیاه پوش به خال بیتا ، زخم کیان و شمگر بمیرم کنمت فراموش,عشق
خیالت راحت این آدمها ، این لبخند هاهیچ کس و هیچ کدام وفاداری ام به “تو” را سست نمی کند,عشق
ای بی وفا ز داغ تو در دل شرر فتاد وز دیده اشک غم ز محبت ثمر فتاد جورم چنان بدل بنمودی که قلب منگردیده پاره پاره و از تن بدر فتاد,عشق
تا عشق ترانه خوان چشمان غم است راه من و تو همیشه پر پیچ و خم است ای حسرت روزهای بی برگشتم صد بار که عاشقت شوم باز کم است,عشق
بی تو مهتاب کجا؟کوچه کجا؟شعر کجا؟بی تو از باقی این عمر گذشتم,عشق
یک نگاهت به من آموخت که در حرف زدن چشم ها بیشتر از حنجره ها می فهمند,عشق
همه بر سر زبانند و تو در میان جانی,عشق
دلم دیوانه بودن با تو را می خواستم,عشق
به چه کس باید گفت با تو انسانم و خوشبخت ترینم,عشق
زندگی را باید کنار گذاشت گاهی حواس را پرت می کندآدم باید شش دانگ حواسشبه دوست داشتن تو باشد,عشق
توصیف تـــو این گونه توان گفت :«تـــو» ختـم تمــام دلبــرانـی,عشق
قلب، مهمانخانه نیست که آدم ها بیایند دو سه ساعت یا دو سه روز توی آن بمانند و بعد بروند قلب، لانه ی گنجشک نیست که در بهار ساخته بشود و در پاییز باد آن را با خودش ببردقلب؟ راستش نمیدانم چیست،اما این را میدانم که فقط جای آدم های خیلی خوب است,عشق
بگو که مال کسی غیر من نخواهی شد خیال خام مرا تا همیشه راحت کن,عشق
صبحی که نسیمش خبر از زلف تو را داد چیزی کم از آن وصلت جانانه ندارد ,عشق
او یک بهشت بود ولی از بهشتِ او سهمم عذاب بود و کسی باورش نشد,عشق
از جان چه خبر گیری و از چشم چه پرسی آن بیتو پر از آتش و این بیتو پر آب است,عشق
صبحِ آبانِ برگ ریز باشد ونمِ باران بزند من باشم و توو یک خیابانِ بی انتها،دیگر آدم از خدا چه می خواهد,عشق
صد بوسه از لبت چو به خیرات میکنی در کوی ما بکن که فقیران عالمیم,عشق
در جهانم یک جهنم بیتو جولان میدهد من برایت یک بهشت از عشق می سازم بیا,عشق
اگر هیچ چیز نیست که از مرگ نجاتمان دهددست کم عشق میتواند از زندگی نجاتمان دهد,عشق
دو قلب داشتم ای کاش در زمان ندیدن یکی برای تو میشد یکی برای تپیدن,عشق
روی فرش دل من جوهری از عشق تو ریخت آمدم پاک کنم عشق تو را بدتر شد,عشق
جرمی ندارم بیش از این کز دل هوا دارم تو را از زعفران روی من رو میبگردانی چرا اشعار عاشقانه بیشتر از مولانا,عشق
دل به نگاه اولین، گشت شکارِ چشم تو زخمِ دگر چه میزنی، صیدِ به خون تپیده را؟,عشق
دارم برای عطر تنت شیشه میخرم عطری برای روز مبادا که نیستی,عشق
من آشنات دانم و تو غیر خوانیم فریاد از یقین من و اشتباه تو,عشق
من همان رودم که بهر دیدنت، مرداب شدماه من بس کن ندیدن های بی اندازه را,عشق
ما بر سر آن کوچه که افتاد گذارتیک شهر گواه است که مردانه نشستیم,عشق
بی تو با قافله ی غصه و غم ها چه کنم ؟,عشق
آرام باش، آرام حالا غزلی بخوان،غزلی بخوان برایم.دلم برای صدایت تنگ شده است.چه دراز زمانی است که تو را ندیده امو صدایت را نشنیده ام,عشق
حال من را فقط آن فاضل معروف نوشت بی تو هر لحظه مرا بیم فرو ریختن است,عشق
اگر هزار غم است از جفای او بر دل هنوز بنده اویم که غمگسار من است,عشق
از مرحمت عشق همین قدر بگویم تنهایی و تنهایی و تنهایی بسیار,عشق
